Company,TypeName,OpSys,Width,Heigth,IsTouchscreen,CpuProducer,CpuSpeed (GHz),HDD,Hybrid,SSD,Flash Storage,GpuProducer,Ram (GB),Weight (kg),Price_euros
Apple,Ultrabook,macOS,2560,1600,No,Intel,2.3,0,0,128,0,Intel,8,1.37,1339.69
Apple,Ultrabook,macOS,1440,900,No,Intel,1.8,0,0,0,128,Intel,8,1.34,898.94
HP,Notebook,No OS,1920,1080,No,Intel,2.5,0,0,256,0,Intel,8,1.86,575.0
Apple,Ultrabook,macOS,2880,1800,No,Intel,2.7,0,0,512,0,AMD,16,1.83,2537.45
Apple,Ultrabook,macOS,2560,1600,No,Intel,3.1,0,0,256,0,Intel,8,1.37,1803.6
Acer,Notebook,Windows 10,1366,768,No,AMD,3.0,500,0,0,0,AMD,4,2.1,400.0
Apple,Ultrabook,macOS,2880,1800,No,Intel,2.2,0,0,0,256,Intel,16,2.04,2139.97
Apple,Ultrabook,macOS,1440,900,No,Intel,1.8,0,0,0,256,Intel,8,1.34,1158.7
Asus,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,0,0,512,0,Nvidia,16,1.3,1495.0
Acer,Ultrabook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,1.6,770.0
HP,Notebook,No OS,1366,768,No,Intel,2.5,500,0,0,0,Intel,4,1.86,393.9
HP,Notebook,No OS,1920,1080,No,Intel,2.0,500,0,0,0,Intel,4,1.86,344.99
Apple,Ultrabook,macOS,2880,1800,No,Intel,2.8,0,0,256,0,AMD,16,1.83,2439.97
Dell,Notebook,Windows 10,1920,1080,No,Intel,2.0,0,0,256,0,AMD,4,2.2,498.9
Apple,Ultrabook,macOS,2304,1440,No,Intel,1.2,0,0,256,0,Intel,8,0.92,1262.4
Apple,Ultrabook,macOS,2560,1600,No,Intel,2.3,0,0,256,0,Intel,8,1.37,1518.55
Dell,Notebook,Windows 10,1920,1080,No,Intel,2.7,0,0,256,0,AMD,8,2.2,745.0
Apple,Ultrabook,macOS,2880,1800,No,Intel,2.9,0,0,512,0,AMD,16,1.83,2858.0
Lenovo,Notebook,No OS,1920,1080,No,Intel,2.4,1024,0,0,0,Nvidia,8,2.2,499.0
Dell,Ultrabook,Windows 10,1920,1080,Yes,Intel,1.6,0,0,128,0,Intel,8,1.22,979.0
Asus,Netbook,Windows 10,1366,768,No,Intel,1.44,0,0,0,32,Intel,2,0.98,191.9
Lenovo,Gaming,Windows 10,1920,1080,No,Intel,2.5,1024,0,128,0,Nvidia,8,2.5,999.0
HP,Notebook,No OS,1366,768,No,AMD,1.5,500,0,0,0,AMD,4,1.86,258.0
Dell,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,1.6,0,0,256,0,Intel,8,1.62,819.0
HP,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Intel,8,1.91,659.0
Dell,Notebook,Windows 10,1366,768,No,Intel,2.0,1024,0,0,0,Intel,4,2.3,418.64
Apple,Ultrabook,macOS,1440,900,No,Intel,1.6,0,0,0,128,Intel,8,1.35,1099.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,AMD,8,2.2,800.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.9,0,0,512,0,Intel,8,1.88,1298.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,1024,0,0,0,Nvidia,8,2.5,896.0
Other,Notebook,Windows 10,1920,1080,No,Intel,1.44,0,0,0,64,Intel,4,1.89,244.99
Asus,Notebook,Windows 10,1366,768,No,AMD,1.5,0,0,0,32,AMD,2,1.65,199.0
HP,Notebook,Windows 10,1920,1080,No,AMD,2.5,500,0,0,0,AMD,4,2.71,439.0
Dell,Ultrabook,Windows 10,3200,1800,Yes,Intel,1.8,0,0,512,0,Intel,16,1.2,1869.0
Apple,Ultrabook,macOS,1440,900,No,Intel,1.6,0,0,0,256,Intel,8,1.35,998.0
Lenovo,Notebook,Windows 10,1366,768,No,Intel,1.1,0,0,0,64,Intel,4,1.44,249.0
Acer,Notebook,Linux,1366,768,No,Intel,2.7,1024,0,0,0,Intel,4,2.1,367.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.6,1024,0,128,0,AMD,8,2.8,979.0
HP,Notebook,Windows 10,1366,768,No,Intel,2.5,1024,0,0,0,Intel,4,1.86,488.69
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Nvidia,8,2.1,879.0
Asus,Notebook,Linux,1920,1080,No,Intel,2.0,1024,0,0,0,Intel,4,2.0,389.0
Dell,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,256,0,Nvidia,16,2.65,1499.0
Asus,Notebook,Linux,1366,768,No,Intel,2.5,1024,0,0,0,Nvidia,8,2.3,522.99
Acer,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,4,2.2,682.0
Dell,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,1.6,1024,0,0,0,Nvidia,12,2.77,999.0
Apple,Ultrabook,macOS,2560,1600,No,Intel,2.0,0,0,256,0,Intel,8,1.37,1419.0
Lenovo,Notebook,No OS,1366,768,No,Intel,2.0,0,0,128,0,Intel,4,2.2,369.0
Asus,Gaming,Windows 10,1920,1080,No,AMD,3.0,1024,0,256,0,AMD,8,3.2,1299.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,AMD,4,2.3,639.0
Asus,Notebook,Windows 10,1366,768,No,Intel,1.1,1024,0,0,0,Nvidia,4,2.8,466.0
Lenovo,2 in 1 Convertible,Other,1920,1200,Yes,Intel,1.44,0,0,0,64,Intel,4,0.69,319.0
Acer,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Nvidia,8,2.2,841.0
HP,Notebook,Windows 10,1920,1080,No,AMD,2.5,0,0,256,0,AMD,4,1.86,398.49
HP,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,512,0,Intel,8,1.49,1103.0
Acer,Notebook,Windows 10,1366,768,No,Intel,2.4,1024,0,0,0,Intel,4,2.4,384.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,AMD,8,2.13,767.8
HP,Notebook,Windows 10,1920,1080,No,Intel,2.0,0,0,128,0,Intel,4,1.91,439.0
Asus,Notebook,Windows 10,1366,768,No,Intel,2.5,0,0,256,0,Intel,4,2.0,586.19
MSI,Gaming,Windows 10,1920,1080,No,Intel,2.8,2048,0,256,0,Nvidia,16,2.43,2449.0
Asus,Notebook,Linux,1920,1080,No,Intel,2.0,0,0,256,0,Intel,4,2.0,415.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.8,2048,0,256,0,AMD,16,2.8,1299.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,1.7,879.0
Lenovo,Notebook,No OS,1920,1080,No,Intel,2.7,0,0,256,0,Intel,8,1.7,599.0
Asus,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,1.4,941.0
HP,Notebook,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Intel,8,1.86,690.0
Asus,Ultrabook,Windows 10,1920,1080,No,Intel,2.8,0,0,512,0,Nvidia,16,1.8,1983.0
HP,Notebook,Windows 10,1366,768,No,Intel,2.0,500,0,0,0,AMD,4,1.86,438.69
HP,Notebook,Windows 10,1366,768,No,Intel,1.6,0,0,32,0,Intel,4,1.44,229.0
Lenovo,Notebook,Windows 10,1920,1080,No,Intel,2.5,1024,0,0,0,Intel,4,1.9,549.0
Asus,Gaming,Linux,1920,1080,No,Intel,2.8,1024,0,0,0,Nvidia,12,3.0,949.0
Other,Ultrabook,Other,2256,1504,Yes,Intel,2.5,0,0,128,0,Intel,4,1.252,1089.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,AMD,8,1.4,955.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,AMD,8,2.2,870.0
MSI,Gaming,Windows 10,1920,1080,No,Intel,2.5,1024,0,128,0,Nvidia,8,2.7,1095.0
Acer,Notebook,Windows 10,1366,768,No,Intel,2.0,1024,0,0,0,Intel,8,2.1,389.0
Asus,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,0,0,Nvidia,8,2.2,949.0
Lenovo,Notebook,No OS,1920,1080,No,Intel,2.5,2048,0,0,0,Intel,8,2.2,519.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.8,1024,0,128,0,Intel,8,2.02,855.0
Acer,Notebook,Windows 10,1920,1080,No,Intel,2.7,1024,0,0,0,Nvidia,4,2.2,530.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,1024,0,128,0,Nvidia,8,2.5,977.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,1.88,1096.16
Apple,Ultrabook,macOS,2304,1440,No,Intel,1.3,0,0,512,0,Intel,8,0.92,1510.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,1.63,860.0
Lenovo,Notebook,Windows 10,1920,1080,No,AMD,2.5,0,0,128,0,AMD,4,2.2,399.0
Acer,Notebook,Windows 10,1366,768,No,AMD,3.0,1024,0,0,0,AMD,4,2.1,395.0
Dell,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,128,0,Nvidia,16,2.65,1349.0
HP,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Nvidia,8,1.83,699.0
HP,Notebook,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Intel,8,1.96,598.99
Asus,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,128,0,Nvidia,16,2.2,1449.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,0,0,256,0,Intel,8,1.21,1649.0
Asus,Gaming,Windows 10,1920,1080,No,AMD,3.0,1024,0,0,0,AMD,8,2.45,699.0
Acer,Notebook,Windows 10,1920,1080,No,Intel,1.8,1024,0,0,0,Nvidia,8,2.2,689.0
HP,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,512,0,Intel,16,1.49,1197.0
Dell,Gaming,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Nvidia,8,2.65,1195.0
Asus,Ultrabook,Windows 10,1920,1080,No,Intel,2.7,0,0,256,0,Intel,8,1.25,1049.0
Acer,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,1.6,0,0,256,0,Intel,8,1.5,847.0
Dell,Notebook,Linux,1920,1080,No,Intel,2.7,1024,0,0,0,AMD,8,2.2,599.9
Dell,Notebook,Linux,1920,1080,No,Intel,2.0,0,0,256,0,AMD,4,2.2,485.0
Asus,Notebook,Windows 10,1920,1080,No,Intel,2.4,0,0,256,0,Nvidia,6,2.0,577.0
HP,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,128,0,Nvidia,12,2.62,1249.0
HP,Notebook,Windows 10,1920,1080,No,Intel,2.7,0,0,256,0,AMD,8,1.91,719.0
HP,Notebook,Windows 10,1920,1080,No,AMD,1.5,500,0,0,0,AMD,4,2.1,349.0
Dell,Notebook,Linux,1920,1080,No,Intel,1.6,1024,0,0,0,AMD,8,2.2,647.0
HP,Ultrabook,Windows 10,1920,1080,No,Intel,2.7,0,0,256,0,Nvidia,8,1.38,1119.0
Other,Ultrabook,Other,2256,1504,Yes,Intel,2.5,0,0,256,0,Intel,8,1.252,1340.0
HP,Notebook,Windows 10,1920,1080,No,Intel,2.5,0,0,256,0,Nvidia,6,1.58,659.0
Lenovo,Notebook,Windows 10,1920,1080,No,Intel,2.0,1024,0,0,0,Intel,4,1.85,414.9
Asus,Ultrabook,Windows 10,1920,1080,No,Intel,2.7,0,0,256,0,Nvidia,8,1.3,1193.0
MSI,Gaming,Windows 10,1920,1080,No,Intel,2.8,1024,0,256,0,Nvidia,16,2.2,1299.0
Lenovo,Notebook,Windows 10,1920,1080,No,Intel,2.7,0,0,256,0,Intel,8,1.58,1480.0
Asus,Ultrabook,Windows 10,1920,1080,No,Intel,1.8,1024,0,256,0,Nvidia,16,1.5,1262.0
Dell,Ultrabook,Windows 10,3200,1800,Yes,Intel,2.4,0,0,256,0,Intel,8,1.23,1379.0
Lenovo,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,2.5,0,0,256,0,Intel,8,1.37,1399.0
HP,Notebook,Windows 10,1366,768,No,Intel,1.6,500,0,0,0,Intel,4,1.63,722.0
Dell,Ultrabook,Windows 10,1920,1080,No,Intel,1.6,0,0,256,0,Intel,8,1.21,1629.0
HP,2 in 1 Convertible,Windows 10,1920,1080,Yes,Intel,1.6,0,0,256,0,Intel,8,1.26,1398.99
HP,Notebook,Windows 10,1920,1080,No,Intel,1.8,0,0,512,0,Intel,8,1.63,1084.0
Dell,Notebook,Windows 10,1920,1080,No,Intel,1.8,1024,0,256,0,Nvidia,8,2.16,1130.33
Asus,Notebook,Windows 10,1920,1080,No,Intel,2.0,1024,0,0,0,Nvidia,4,2.0,564.0
