Company,TypeName,Ram (GB),OpSys,Weight (kg),Width,Heigth,IsTouchscreen,CpuProducer,CpuSpeed (GHz),MemoryType,CombinedMemoryCapacity (GB),GpuProducer,Price_euros
Apple,Ultrabook,8,macOS,1.37,2560,1600,No,Intel,2.3,SSD,128,Intel,1339.69
Apple,Ultrabook,8,macOS,1.34,1440,900,No,Intel,1.8,Flash Storage,128,Intel,898.94
HP,Notebook,8,No OS,1.86,1920,1080,No,Intel,2.5,SSD,256,Intel,575.0
Apple,Ultrabook,16,macOS,1.83,2880,1800,No,Intel,2.7,SSD,512,AMD,2537.45
Apple,Ultrabook,8,macOS,1.37,2560,1600,No,Intel,3.1,SSD,256,Intel,1803.6
Acer,Notebook,4,Windows 10,2.1,1366,768,No,AMD,3.0,HDD,500,AMD,400.0
Apple,Ultrabook,16,Mac OS X,2.04,2880,1800,No,Intel,2.2,Flash Storage,256,Intel,2139.97
Apple,Ultrabook,8,macOS,1.34,1440,900,No,Intel,1.8,Flash Storage,256,Intel,1158.7
Asus,Ultrabook,16,Windows 10,1.3,1920,1080,No,Intel,1.8,SSD,512,Nvidia,1495.0
Acer,Ultrabook,8,Windows 10,1.6,1920,1080,No,Intel,1.6,SSD,256,Intel,770.0
HP,Notebook,4,No OS,1.86,1366,768,No,Intel,2.5,HDD,500,Intel,393.9
HP,Notebook,4,No OS,1.86,1920,1080,No,Intel,2.0,HDD,500,Intel,344.99
Apple,Ultrabook,16,macOS,1.83,2880,1800,No,Intel,2.8,SSD,256,AMD,2439.97
Dell,Notebook,4,Windows 10,2.2,1920,1080,No,Intel,2.0,SSD,256,AMD,498.9
Apple,Ultrabook,8,macOS,0.92,2304,1440,No,Intel,1.2,SSD,256,Intel,1262.4
Apple,Ultrabook,8,macOS,1.37,2560,1600,No,Intel,2.3,SSD,256,Intel,1518.55
Dell,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,2.7,SSD,256,AMD,745.0
Apple,Ultrabook,16,macOS,1.83,2880,1800,No,Intel,2.9,SSD,512,AMD,2858.0
Lenovo,Notebook,8,No OS,2.2,1920,1080,No,Intel,2.4,HDD,1024,Nvidia,499.0
Dell,Ultrabook,8,Windows 10,1.22,1920,1080,Yes,Intel,1.6,SSD,128,Intel,979.0
Asus,Netbook,2,Windows 10,0.98,1366,768,No,Intel,1.44,Flash Storage,32,Intel,191.9
Lenovo,Gaming,8,Windows 10,2.5,1920,1080,No,Intel,2.5,"SSD, HDD",1152,Nvidia,999.0
HP,Notebook,4,No OS,1.86,1366,768,No,AMD,1.5,HDD,500,AMD,258.0
Dell,2 in 1 Convertible,8,Windows 10,1.62,1920,1080,Yes,Intel,1.6,SSD,256,Intel,819.0
HP,Ultrabook,8,Windows 10,1.91,1920,1080,No,Intel,1.8,SSD,256,Intel,659.0
Dell,Notebook,4,Windows 10,2.3,1366,768,No,Intel,2.0,HDD,1024,Intel,418.64
Apple,Ultrabook,8,Mac OS X,1.35,1440,900,No,Intel,1.6,Flash Storage,128,Intel,1099.0
Dell,Notebook,8,Windows 10,2.2,1920,1080,No,Intel,1.6,SSD,256,AMD,800.0
Dell,Ultrabook,8,Windows 10,1.88,1920,1080,No,Intel,1.9,"SSD, SSD",512,Intel,1298.0
HP,Notebook,8,Windows 10,2.5,1920,1080,No,Intel,1.6,HDD,1024,Nvidia,896.0
Chuwi,Notebook,4,Windows 10,1.89,1920,1080,No,Intel,1.44,Flash Storage,64,Intel,244.99
Asus,Notebook,2,Windows 10,1.65,1366,768,No,AMD,1.5,Flash Storage,32,AMD,199.0
HP,Notebook,4,Windows 10,2.71,1920,1080,No,AMD,2.5,HDD,500,AMD,439.0
Dell,Ultrabook,16,Windows 10,1.2,3200,1800,Yes,Intel,1.8,SSD,512,Intel,1869.0
Apple,Ultrabook,8,Mac OS X,1.35,1440,900,No,Intel,1.6,Flash Storage,256,Intel,998.0
Lenovo,Notebook,4,Windows 10,1.44,1366,768,No,Intel,1.1,Flash Storage,64,Intel,249.0
Acer,Notebook,4,Linux,2.1,1366,768,No,Intel,2.7,HDD,1024,Intel,367.0
Dell,Notebook,8,Windows 10,2.8,1920,1080,No,Intel,1.6,"SSD, HDD",1152,AMD,979.0
HP,Notebook,4,Windows 10,1.86,1366,768,No,Intel,2.5,HDD,1024,Intel,488.69
HP,Notebook,8,Windows 10,2.1,1920,1080,No,Intel,1.6,SSD,256,Nvidia,879.0
Asus,Notebook,4,Linux,2.0,1920,1080,No,Intel,2.0,HDD,1024,Intel,389.0
Dell,Gaming,16,Windows 10,2.65,1920,1080,No,Intel,2.8,"SSD, HDD",1280,Nvidia,1499.0
